id_dokumen;par_id;tanggal;unit;jenis_laporan;paragraf_raw;paragraf_chars;paragraf_clean;topic_id;topic_score;pestle
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;10;2023;BPOM;laporan_tahunan;mendatang. Semoga Laporan Tahunan ini dapat memberikan kontribusi terhadap perbaikan,;85;datang moga lapor tahun dapat beri kontribusi baik;3;0.4982554308862999;Technological
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;11;2023;BPOM;laporan_tahunan;peningkatan kualitas kinerja, penyusunan program kerja dan kegiatan Balai Besar POM di Jakarta pada;99;tingkat kualitas kerja susun program kerja giat balai besar pom jakarta;5;0.5380404316638998;Political
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;12;2023;BPOM;laporan_tahunan;tahun berikutnya serta memberikan manfaat bagi semua pihak yang membutuhkan. Wassalamualaikum wr. wb.;101;tahun ikut beri manfaat bagi semua pihak butuh wassalamualaikum;4;0.5209182020487594;Uncategorized
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;13;2023;BPOM;laporan_tahunan;Jakarta, 1 Maret 2024 Kepala Balai Besar POM di Jakarta Sofiyani Chandrawati Anwar,S.Si.,Apt.,M.Si;98;jakarta maret 2024 kepala balai besar pom jakarta sofiyani chandrawati anwar apt;5;0.865549422048702;Uncategorized
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;14;2023;BPOM;laporan_tahunan;KATAPENGANTAR.............................................................................................................................. i;141;katapengantar;0;0.16666666666666669;Uncategorized
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;15;2023;BPOM;laporan_tahunan;Daftar Tabel ............................................................................................................................................................. iii;174;daftar tabel iii;0;0.8602381295306958;Uncategorized
Laporan Tahunan Balai Besar POM di Jakarta Tahun 2023;16;2023;BPOM;laporan_tahunan;Daftar Gambar .......................................................................................................................................................... v;170;daftar gambar;0;0.7897550399671497;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;0;2023;BPOM;dokumen_kebijakan;BADAN PENGAWAS OBAT DAN MAKANAN REPUBLIK INDONESIA LAPORAN TAHUNAN pom.go.id @bpom_ri;85;badan awas obat makan republik indonesia lapor tahun pom bpom;3;0.8766408986877207;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;1;2023;BPOM;dokumen_kebijakan;1500533 HALOBPOM @bpom_ri @bpom.official Jl. Percetakan Negara No.23 Jakarta 10560, Indonesia @bpom.official;108;1500533 halobpom bpom bpom official cetak negara jakarta 10560 indonesia bpom official;3;0.9478242438807295;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;2;2023;BPOM;dokumen_kebijakan;Puji syukur senantiasa kami panjatkan ke hadirat Tuhan Yang Maha Esa karena kami masih dikaruniai;97;puji syukur senantiasa kami panjat hadirat tuhan maha esa kami masih karunia;4;0.9637596276483577;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;3;2023;BPOM;dokumen_kebijakan;kesempatan untuk berkarya dan bekerja sebaik-baiknya dalam melaksanakan tugas dan fungsi BPOM, khususnya;104;sempat karya kerja baik baik laksana tugas fungsi bpom khusus;3;0.9559945639583095;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;4;2023;BPOM;dokumen_kebijakan;di bidang pengawasan Obat dan Makanan selama tahun 2023. Laporan Tahunan BPOM merupakan salah satu;98;bidang awas obat makan lama tahun 2023 lapor tahun bpom rupa salah satu;3;0.9678889347814034;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;5;2023;BPOM;dokumen_kebijakan;wujud pertanggungjawaban BPOM dalam pelaksanaan anggaran pemerintah. Lingkungan strategis yang semakin;102;wujud pertanggungjawaban bpom laksana anggar perintah lingkung strategis makin;3;0.6399905295177566;Political
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;6;2023;BPOM;dokumen_kebijakan;Kata dinamis berimplikasi pada luas dan kompleksnya tugas dan tanggung jawab pengawasan Obat dan Makanan;104;kata dinamis implikasi luas kompleks tugas tanggung jawab awas obat makan;3;0.5135978671893651;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;7;2023;BPOM;dokumen_kebijakan;yang harus dilakukan oleh BPOM. Jejaring kerjasama dan koordinasi yang efektif dan sinergis dengan berbagai;107;harus laku bpom jejaring kerjasama koordinasi efektif sinergis bagai;4;0.6313066830492929;Political
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;8;2023;BPOM;dokumen_kebijakan;pihak harus senantiasa dijalin, dibina, dan dikembangkan agar memberikan kontribusi optimal bagi terlaksananya;110;pihak harus senantiasa jalin bina kembang beri kontribusi optimal bagi laksana;4;0.9558952703432226;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;9;2023;BPOM;dokumen_kebijakan;tugas dan tanggung jawab BPOM. 4 LLAAPPOORRAANN TTAAHHUUNNAANN | 2023 Selama tahun 2023, pencapaian hasil pengawasan Obat dan Makanan yang dilakukan BPOM;153;tugas tanggung jawab bpom llaappoorraann ttaahhuunnaann 2023 lama tahun 2023 capai hasil awas obat makan laku bpom;3;0.820947289989516;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;10;2023;BPOM;dokumen_kebijakan;didukung oleh perkuatan institusi terkait kelembagaan, pelaksanaan Reformasi Birokrasi yang;91;dukung kuat institusi kait lembaga laksana reformasi birokrasi;2;0.5184933241798173;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;11;2023;BPOM;dokumen_kebijakan;konsisten, pemantapan sumber daya manusia yang profesional, serta dukungan sarana;81;konsisten mantap sumber daya manusia profesional dukung sarana;3;0.8548562078261527;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;12;2023;BPOM;dokumen_kebijakan;dan prasarana yang memadai. Pencapaian BPOM di antaranya mencakup percepatan, standardisasi, dan evaluasi pre-market dalam rangka pemberian persetujuan izin edar,;162;prasarana pada capai bpom antara cakup cepat standardisasi evaluasi pre market rangka beri tuju izin edar;5;0.332426351438234;Legal
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;13;2023;BPOM;dokumen_kebijakan;pengawasan post-market setelah produk beredar dengan cara pengambilan sampel dan;80;awas post market telah produk edar cara ambil sampel;1;0.644499440786435;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;14;2023;BPOM;dokumen_kebijakan;pengujian laboratorium produk Obat dan Makanan yang beredar, inspeksi cara produksi;83;uji laboratorium produk obat makan edar inspeksi cara produksi;3;0.5689340819354691;Technological
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;15;2023;BPOM;dokumen_kebijakan;dan distribusi dalam rangka pengawasan implementasi cara produksi dan cara distribusi;85;distribusi rangka awas implementasi cara produksi cara distribusi;1;0.7043707706112953;Economic
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;16;2023;BPOM;dokumen_kebijakan;yang baik, pengawasan iklan dan penandaan, serta investigasi awal dan penyidikan;80;baik awas iklan tanda investigasi awal sidi;1;0.46975018084457476;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;17;2023;BPOM;dokumen_kebijakan;berbagai kasus tindak pidana bidang Obat dan Makanan. Di samping itu, selama tahun;82;bagai kasus tindak pidana bidang obat makan samping lama tahun;3;0.5044765221951074;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;18;2023;BPOM;dokumen_kebijakan;2023 BPOM tetap berupaya melakukan pemberdayaan masyarakat, baik secara mandiri oleh BPOM maupun bermitra dengan pemangku kepentingan.;134;2023 bpom tetap upaya laku daya masyarakat baik cara mandiri bpom maupun mitra mang penting;3;0.969027157953281;Social
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;19;2023;BPOM;dokumen_kebijakan;Terima kasih kepada seluruh jajaran BPOM dan semua pihak atas sinergi yang terjalin serta;89;terima kasih kepada seluruh jajar bpom semua pihak atas sinergi jalin;3;0.9582490669307725;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;20;2023;BPOM;dokumen_kebijakan;hasil yang dicapai selama tahun 2023. Semoga pencapaian BPOM dalam Laporan Tahunan;82;hasil capai lama tahun 2023 moga capai bpom lapor tahun;3;0.9560862212643464;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;21;2023;BPOM;dokumen_kebijakan;ini menjadi titik tumpu bagi BPOM untuk bekerja lebih baik lagi dalam upaya melindungi;86;jadi titik tumpu bagi bpom kerja lebih baik lagi upaya lindung;3;0.6316154356499163;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;22;2023;BPOM;dokumen_kebijakan;masyarakat terhadap peredaran Obat dan Makanan yang tidak memenuhi persyaratan keamanan, manfaat/khasiat dan mutu. Serta dapat meningkatkan sinergitas antara;157;masyarakat edar obat makan tidak penuh syarat aman manfaat khasiat mutu dapat tingkat sinergitas antara;1;0.7529963756639642;Social
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;23;2023;BPOM;dokumen_kebijakan;pemangku kepentingan baik dalam skala nasional maupun internasional dan dengan masyarakat luas untuk membangun Indonesia yang lebih baik dan lebin maju.;152;mang penting baik skala nasional maupun internasional masyarakat luas bangun indonesia lebih baik lebin maju;3;0.5687131182635066;Political
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;24;2023;BPOM;dokumen_kebijakan;Jakarta, 28 Juni 2024 L. Rizka Andalusia LLAAPPOORRAANN TTAAHHUUNNAANN | 2023 5 6 LAPORAN TAHUNAN | 2023;104;jakarta juni 2024 rizka andalusia llaappoorraann ttaahhuunnaann 2023 lapor tahun 2023;3;0.9441616472103892;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;25;2023;BPOM;dokumen_kebijakan;ii Kata iii Daftar Isi BAB I Highlight 2022 BAB II BAB III Keadaan Umum dan 103 BAB IV;86;kata iii daftar isi bab highlight 2022 bab bab iii ada umum 103 bab;2;0.9533579149821312;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;26;2023;BPOM;dokumen_kebijakan;Pengawasan Obat dan 349 Makanan Tahun 2023 BAB V LAPORAN TAHUNAN | 2023 7 BAB I LAPORAN TAHUNAN | 2023 9;104;awas obat 349 makan tahun 2023 bab lapor tahun 2023 bab lapor tahun 2023;3;0.9652268550543652;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;27;2023;BPOM;dokumen_kebijakan;1.1 PENGHARGAAN Highlight BPOM telah berhasil memperoleh berbagai penghargaan sebagai;85;harga highlight bpom telah hasil oleh bagai harga;3;0.9356128315576152;Economic
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;28;2023;BPOM;dokumen_kebijakan;salah satu bukti kinerjanya. Beberapa penghargaan yang diperoleh BPOM di tahun 2023:;84;salah satu bukti kerja beberapa harga oleh bpom tahun 2023;3;0.9508601336304652;Economic
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;29;2023;BPOM;dokumen_kebijakan;Badan publik dengan kualifikasi “Informatif” berdasarkan pelaksanaan Monitoring dan;83;badan publik kualifikasi informatif dasar laksana monitoring;5;0.930152358079718;Technological
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;30;2023;BPOM;dokumen_kebijakan;Evaluasi Keterbukaan Informasi Publik Tahun 2023 untuk Kategori Lembaga Negara dan;82;evaluasi buka informasi publik tahun 2023 kategori lembaga negara;1;0.9506598160500916;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;31;2023;BPOM;dokumen_kebijakan;Lembaga Pemerintah Non-Kementerian. Kategori Terbaik Kementerian/Lembaga dalam Pemantauan dan Evaluasi Kinerja;110;lembaga perintah non menteri kategori baik menteri lembaga pantau evaluasi kerja;1;0.5328746950305938;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;32;2023;BPOM;dokumen_kebijakan;Penyelenggaraan Pelayanan Publik Tahun 2023 dari Kementerian PANRB 10 LAPORAN TAHUNAN | 2023;92;selenggara layan publik tahun 2023 menteri panrb lapor tahun 2023;3;0.4686563096429704;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;33;2023;BPOM;dokumen_kebijakan;1.1 PENGHARGAAN Peringkat Pertama Predikat Kepatuhan Standar Pelayanan Publik Tingkat Lembaga;93;harga peringkat pertama predikat patuh standar layan publik tingkat lembaga;1;0.5246852821391473;Economic
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;34;2023;BPOM;dokumen_kebijakan;Pemerintah (Zonasi Hijau Kategori A Kualitas Tertinggi) oleh Ombudsman RI Inovasi Berpendar (Bersama;100;perintah zonasi hijau kategori kualitas tinggi ombudsman inovasi pendar sama;1;0.5638124586979508;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;35;2023;BPOM;dokumen_kebijakan;Memperoleh Ijin Edar) Balai Besar POM di Yogyakarta memperoleh TOP 99 Inovasi Pelayanan Publik dari;99;oleh ijin edar balai besar pom yogyakarta oleh top inovasi layan publik;5;0.6368818889407271;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;36;2023;BPOM;dokumen_kebijakan;Kementerian PANRB Kategori Terpopuler di Media Cetak dan Online selama tahun 2022 pada ajang;92;menteri panrb kategori populer media cetak online lama tahun 2022 ajang;4;0.9474736768152008;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;37;2023;BPOM;dokumen_kebijakan;The 8th Public Relation Indonesia Award (PRIA) 2023. LAPORAN TAHUNAN | 2023 11 Meraih opini Wajar Tanpa Pengecualian;116;the 8th public relation indonesia award pria 2023 lapor tahun 2023 raih opini wajar tanpa kecuali;3;0.572448373131171;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;38;2023;BPOM;dokumen_kebijakan;(WTP) kesembilan kalinya sejak tahun 2014 untuk Laporan Keuangan Tahun 2022 The 1st Indonesia Goverment Public;110;wtp sembilan kali sejak tahun 2014 lapor uang tahun 2022 the 1st indonesia goverment public;3;0.4319222377532419;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;39;2023;BPOM;dokumen_kebijakan;Relations (GPR) Awards 2023 (IGA 2023) yang diselenggarakan oleh Humas Penghargaan kepada Direktorat Registrasi;111;relations gpr awards 2023 iga 2023 selenggara humas harga kepada direktorat registrasi;3;0.5923171679971512;Economic
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;40;2023;BPOM;dokumen_kebijakan;Pangan Olahan sebagai Unit Penyelenggara Pelayanan Publik Terbaik Penyedia Sarana;81;pangan olah unit selenggara layan publik baik sedia sarana;4;0.776544788790296;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;41;2023;BPOM;dokumen_kebijakan;Prasarana Ramah Kelompok Rentan 12 LAPORAN TAHUNAN | 2023 Penghargaan dari Markas Besar Kepolisian;98;prasarana ramah kelompok rentan lapor tahun 2023 harga markas besar polisi;3;0.6601170875753756;Economic
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;42;2023;BPOM;dokumen_kebijakan;Negara Republik Indonesia Badan Reserse Kriminal atas kinerja yang baik dalam melaksanakan fungsi penegakan hukum;113;negara republik indonesia badan reserse kriminal atas kerja baik laksana fungsi tega hukum;3;0.9582400041530593;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;43;2023;BPOM;dokumen_kebijakan;terhadap Undang-Undang yang menjadi kewenangannya dan melaksanakan koordinasi serta bersinergi dengan Penyidik POLRI;116;undang undang jadi wenang laksana koordinasi sinergi sidik polri;2;0.9301238090545012;Political
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;44;2023;BPOM;dokumen_kebijakan;pengembang fungsi Korwas PPNS. Penghargaan kategori Laboratorium dengan Surveilence Genomik dari Kementerian Kesehatan;118;kembang fungsi korwas ppns harga kategori laboratorium surveilence genomik menteri sehat;4;0.4945599209258518;Economic
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;45;2023;BPOM;dokumen_kebijakan;yang diterima oleh Pusat Pengembangan Pengujian Obat dan Makanan Nasional BPOM pada ajang Pemberlakuan Pembatasan Kegiatan;122;terima pusat kembang uji obat makan nasional bpom ajang laku batas giat;3;0.8566616458648584;Political
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;46;2023;BPOM;dokumen_kebijakan;Masyarakat (PPKM) Award 2023 LAPORAN TAHUNAN | 2023 13 Anugerah Instansi terbaik dalam;86;masyarakat ppkm award 2023 lapor tahun 2023 anugerah instansi baik;3;0.9357742956164788;Social
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;47;2023;BPOM;dokumen_kebijakan;Pemanfaatan Layanan Pusat Data Nasional dari Kementerian Komunikasi dan Informatika;83;manfaat layan pusat data nasional menteri komunikasi informatika;3;0.7461458165107738;Political
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;48;2023;BPOM;dokumen_kebijakan;Penganugerahan Anindhita Wistara Data dalam Program Evaluasi Penyelenggaraan Statistik Sektoral (EPSS) 2023 dengan;114;anugerah anindhita wistara data program evaluasi selenggara statistik sektoral epss 2023;3;0.8952896988891154;Political
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;49;2023;BPOM;dokumen_kebijakan;Indeks Pembangunan Statistik 3,04 dengan Predikat Baik. 14 LAPORAN TAHUNAN | 2023;81;indeks bangun statistik predikat baik lapor tahun 2023;3;0.7325371356828962;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;50;2023;BPOM;dokumen_kebijakan;Penghargaan The Highest Score untuk tingkat Lembaga dengan nilai Indeks BerAKHLAK 2023 dari Kementerian;103;harga the highest score tingkat lembaga nilai indeks akhlak 2023 menteri;4;0.5213266611855015;Economic
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;51;2023;BPOM;dokumen_kebijakan;Pendayagunaan Aparatur Negara dan Reformasi Birokrasi. BPOM yang diwakili oleh PPSDM memperoleh;95;pendayagunaan aparatur negara reformasi birokrasi bpom wakil ppsdm oleh;4;0.5896741184743314;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;52;2023;BPOM;dokumen_kebijakan;Penghargaan Terbaik I Lembaga Pelatihan Pemerintah Berprestasi Tahun 2023 Kategori;82;harga baik lembaga latih perintah prestasi tahun 2023 kategori;3;0.8321365888394587;Economic
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;53;2023;BPOM;dokumen_kebijakan;Adaptive Learning Strategy dengan Tema Pengembangan Metode dan Bentuk Pengembangan Kompetensi Non Klasikal;106;adaptive learning strategy tema kembang metode bentuk kembang kompetensi non klasikal;2;0.9352864632024132;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;54;2023;BPOM;dokumen_kebijakan;Klasifikasi Pemerintah Pusat LAPORAN TAHUNAN | 2023 15 1.2 PERISTIWA PENTING 22 Januari 2023;92;klasifikasi perintah pusat lapor tahun 2023 peristiwa penting januari 2023;3;0.8791150935231918;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;55;2023;BPOM;dokumen_kebijakan;Open Housee Rangkaian HUT 22 BPOM Tangguh Untuk Indonesia: Ajak Generasi Muda Melek;83;open housee rangkai hut bpom tangguh indonesia ajak generasi muda melek;3;0.6448854736646408;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;56;2023;BPOM;dokumen_kebijakan;Pengawasan Obat dan Makanan Mengawali rangkaian Hari Ulang Tahun (HUT) Ke-22, BPOM menyelenggarakan Open;104;awas obat makan awal rangkai hari ulang tahun hut bpom selenggara open;3;0.8092690685661103;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;57;2023;BPOM;dokumen_kebijakan;House Expo Sistem Pengawasan Life Cycle Produk Obat dan Makanan di Kantor Pusat BPOM. Kegiatan yang berlangsung dua hari ini melibatkan siswa-siswi dari sekolah;160;house expo sistem awas life cycle produk obat makan kantor pusat bpom giat langsung dua hari libat siswa siswi sekolah;1;0.48605496461175624;Social
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;58;2023;BPOM;dokumen_kebijakan;tingkat menengah atas di Jakarta, mahasiswa dari beberapa perguruan tinggi di Jakarta,;86;tingkat tengah atas jakarta mahasiswa beberapa guru tinggi jakarta;3;0.6123958111482051;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;59;2023;BPOM;dokumen_kebijakan;serta stakeholders BPOM. Pada hari pertama, kegiatan diikuti oleh sekitar 260 peserta. Peserta pelajar;102;stakeholders bpom hari pertama giat ikut sekitar 260 serta serta ajar;5;0.5528604676108249;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;60;2023;BPOM;dokumen_kebijakan;sebanyak 155 orang yang berasal dari SMAN 68, MAN 4, SMA Al-Izhar, dan Jakarta Islamic School. Selain itu, kegiatan ini diikuti juga oleh pelaku usaha dan media;160;banyak 155 orang asal sman man sma izhar jakarta islamic school selain giat ikut juga laku usaha media;4;0.6480522358025398;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;61;2023;BPOM;dokumen_kebijakan;sebagai stakeholders BPOM. Memasuki hari kedua, Open House diikuti 299 peserta dan;82;stakeholders bpom pasuk hari dua open house ikut 299 serta;5;0.7411345153551755;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;62;2023;BPOM;dokumen_kebijakan;melibatkan sejumlah influencer serta dihadiri Anggota Komisi IX DPR. Februari 2023;82;libat jumlah influencer hadir anggota komisi dpr februari 2023;3;0.47250602438339034;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;63;2023;BPOM;dokumen_kebijakan;22 Tahun BPOM Unjuk Kinerja Persembahan Untukmu Indonesia Sudah 22 tahun BPOM mengabdi dan melaksanakan tugas menjaga Obat dan Makanan;134;tahun bpom unjuk kerja sembah untuk indonesia sudah tahun bpom abdi laksana tugas jaga obat makan;3;0.9560504655135055;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;64;2023;BPOM;dokumen_kebijakan;yang dikonsumsi masyarakat aman, berkhasiat, dan bermutu. Beragam tantangan dilalui;83;konsumsi masyarakat aman khasiat mutu agam tantang lalu;3;0.5994169812054265;Social
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;65;2023;BPOM;dokumen_kebijakan;melintasi dinamika zaman yang menuntut perubahan. Inovasi terus dihadirkan hingga;81;lintas dinamika zaman tuntut ubah inovasi terus hadir hingga;2;0.4829663583169026;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;66;2023;BPOM;dokumen_kebijakan;di usianya yang ke-22 tahun membuatnya berhasil menorehkan berbagai capaian dan prestasi. Terutama tiga tahun terakhir saat-saat sulit melalui pandemi COVID-19.;160;usia tahun buat hasil toreh bagai capai prestasi utama tiga tahun akhir saat saat sulit pandemi covid;3;0.7244210663005244;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;67;2023;BPOM;dokumen_kebijakan;Dalam peringatan Unjuk Kinerja dan Apresiasi Pada Masa Tiga Tahun Pandemi COVID-19,;83;ingat unjuk kerja apresiasi masa tiga tahun pandemi covid;3;0.9158942899606969;Uncategorized
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;68;2023;BPOM;dokumen_kebijakan;BPOM menampilkan gelaran Persembahan Simfoni Untukmu Indonesia. Kepala BPOM memberikan apresiasi dan penghargaan kepada lintas sektor baik dari sektor lembaga,;159;bpom tampil gelar sembah simfoni untuk indonesia kepala bpom beri apresiasi harga kepada lintas sektor baik sektor lembaga;3;0.8191316047750956;Economic
PPT-Laporan-Tahunan-Badan-POM-Tahun-2023;69;2023;BPOM;dokumen_kebijakan;pelaku usaha, maupun perorangan yang berkontribusi dalam membangun kemandirian bangsa di bidang Obat dan Makanan, termasuk penanganan COVID-19.;143;laku usaha maupun orang kontribusi bangun mandiri bangsa bidang obat makan masuk tangan covid;3;0.6588801623607548;Uncategorized
